Token,Lemma
AKURN,AKURN
 , 
vs,vs
 , 
BIE,BIE
 , 
NiB,NiB
[,[
är,är
(,--
BD,BD
pz|,pz|
 , 
176,176
 , 
Fel,Fel
Eul,Eul
Hye,Hye
Aul,Aul
Di,Di
[,[
7,7
 , 
1227,1227
i,i
],]
2,2
|,|
 , 
1.,1.
 , 
Sn,Sn
SUI,SUI
EDP,EDP
|,|
 , 
Fel,Fel
M,M
bpieL,bpieL
1,1
 , 
ETINIENS,ETINIENS
Alter,Alter
114,114
(,--
Rinad,Rinad
),--
.,--
Evönt,Evönt
 , 
Sir-Bidenjapt.x,Sir-Bidenjapt.x
.,--
 , 
Englischer,englisch
Angriff,Angriff
gegen,gegen
die,der
flandrische,flandrisch
Küste,Küste
.,--
 , 
Mühelos,mühelos
abgeschlagen,abschlagen
.,--
=,=
>,>
Ein,ein
Torpedo-,Torpedo
boot,Boot
erbeutet,erbeuten
.,--
 , 
Amtliche,amtlich
Meldung,Meldung
 , 
Berlin,Berlin
",",--
22.,22.
April,April
.,--
Zu,zu
der,der
Nacht,Nacht
vom,von
11.,11.
zum,zu
12.,12.
nuternahmen,nuternahm
englische,englisch
Seestreitkräste,Seestreitkräst
",",--
bestehend,bestehend
ans,an
Monito,Monito
»,--
zen,zen
",",--
Torpedofahrzeugen,Torpedofahrzeugen
und,und
T,T
!,--
uyzeugen,uyzeugen
einen,ein
Angriff,Angriff
gegen,gegen
die,der
flandris&e,flandris&e
Küste,Küste
.,--
Ostende,Ostende
wurde,werden
mit,mit
schwerem,schwer
Kaliber,Kaliber
beicho,Beicho
!,--
Zeebrägge,Zeebrägge
durc,durc
Flugzeuge,Flugzeug
mit,mit
Bomben,Bombe
bewarfen,bewerfen
.,--
Die,der
Angriffe,Angriff
wurden,werden
durch,durch
unsere,unser
Batterien,Batterie
mühelos,mühelos
abgeschlagen,abschlagen
.,--
Militärischer,militärisch
Schaden,Schaden
wurde,werden
nir-,nir
 , 
mit,mit
voller,voll
Ausrüstung,Ausrüstung
von,von
uns,uns
erbeutet,erbeuten
.,--
Der,der
Chef,Chef
des,der
Admiralstabes,Admiralstab
der,der
Marius,Marius
.,--
 , 
Frauzöfiiche,frauzöfiich
Flieger,Flieger
in,in
Holland,Holland
inkernierk,inkernierk
.,--
 , 
Bei,bei
Ritthem,Ritthem
(,--
Holland,Holland
),--
landete,landen
